org_name,website,description,pathway
Berkeley Free Clinic,https://www.berkeleyfreeclinic.org/,Volunteer-run health collective providing free medical and dental care and peer counseling to uninsured and low-income residents since 1969.,health
LifeLong Medical Care,https://lifelongmedical.org/,Community health center network providing medical dental and behavioral health services to people of all ages regardless of ability to pay.,health
The Suitcase Clinic,https://www.suitcaseclinic.org/,Student-led organization serving underserved populations through weekly drop-in clinics providing free health and social services to people experiencing homelessness.,health
Berkeley Food Network,https://www.berkeleyfoodnetwork.org/,Nonprofit collecting storing and distributing fresh healthy no-cost food through pantries and distributions throughout Northern Alameda County.,health
Berkeley Youth Alternatives,https://byaonline.org/,Empowers underserved youth and families through educational health and wellness and career development programs serving ages 6 to 24 for over 50 years.,families
A Better Way,https://www.abetterwayinc.net/,Comprehensive foster and adoption agency providing behavioral health parent advocacy family strengthening and community training since 1996.,families
Berkeley Community Fund,https://berkfund.org/,Provides four-year college scholarships mentoring and financial literacy training to academically talented Berkeley High School students.,families
Side by Side,https://www.sidebysideyouth.org/,Provides young people ages 5 to 26 with behavioral and mental health services early school intervention LGBTQIA+ support and transitional housing for foster youth.,families
Resources for Community Development,https://rcdhousing.org/,Creates and preserves affordable housing for low-income individuals and families with a portfolio of 56 properties and 2500 units across 20 cities.,neighborhood
Bay Area Community Land Trust,https://www.bayareaclt.org/,Advances housing as a human right by creating permanently affordable resident-controlled housing cooperatives in the East Bay.,neighborhood
Rebuilding Together East Bay Network,https://www.rtebn.org,Preserves affordable homeownership by providing free rehabilitation and critical repairs to homes of income-qualified seniors veterans and people with disabilities.,neighborhood
Insight Housing,https://bfhp.org/,Provides housing and food services ensuring everyone has access to affordable housing and healthy food since 1970.,neighborhood
League of Women Voters Berkeley Albany Emeryville,https://www.lwvbae.org/,Nonpartisan political organization encouraging informed citizen participation in government and acting on public policy issues since 1911.,voice
Center for Independent Living,https://thecil.org/,Founded in 1972 as the first independent living center providing services and advocacy for people with disabilities to live independently in the community.,voice
East Bay Community Law Center,https://ebclc.org/,Provides legal services to low-income communities including immigration housing and community economic justice programs through UC Berkeley Law.,voice
East Bay Sanctuary Covenant,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392622-East_Bay_Sanctuary_Covenant,Provides legal services community organizing and transformative education supporting low-income immigrants and people fleeing violence and persecution.,voice
YWCA Berkeley/Oakland,https://www.ywca-berkeley.org/,Offers workforce development financial and digital literacy programs and career readiness services from teens through adulthood.,money
Rising Sun Center for Opportunity,https://risingsunopp.org/,Prepares youth women people of color and reentry individuals for family-sustaining careers in the green economy through climate careers and construction training.,money
Building Opportunities for Self-Sufficiency,https://www.self-sufficiency.org/,Fights root causes of poverty and homelessness through housing reentry and violence prevention solutions serving over 3000 people annually across Alameda County.,money
Bay Area Financial Education Foundation,https://www.bafef.org/,Provides free financial literacy workshops to community organizations covering budgeting investing and understanding credit.,money
Ecology Center,https://ecologycenter.org/,Pioneering environmental nonprofit since 1969 running farmers markets curbside recycling education programs and climate action advocacy.,planet
Friends of Five Creeks,https://f5creeks.org/,All-volunteer group protecting and restoring watersheds of North Berkeley through habitat improvement water quality work and invasive species removal since 1996.,planet
UC Berkeley Student Environmental Resource Center,https://serc.berkeley.edu/,Campus hub connecting students to environmental organizations sustainability initiatives and ecological advocacy opportunities.,planet
Berkeley Mutual Aid Network,https://www.berkeleymutualaid.org/,Volunteer-powered mutual aid connecting neighbors to share resources meet essential needs and build community resilience.,the-bigger-we
UC Berkeley Public Service Center,https://publicservice.berkeley.edu/,Promotes social action through engaged scholarship and campus-community partnerships with 4000+ students providing 290000 hours of annual service.,the-bigger-we
Social Justice Collaborative,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.459232-Social_Justice_Collaborative_Berkeley_Office,Legal aid nonprofit providing deportation defense and immigration services to low-income noncitizens in the Bay Area.,the-bigger-we
